Title,Distr
Manhattan (re),Park Circus
Night at the Museum,20th Fox
It's a Boy Girl Thing,Icon
Perfume,Pathe
White Noise,Entertainment
The Aviator,BVI
Alexander,Warner
The Incredibles,BVI
Lemony Snicket's A Series of Unfortunate Events,UIP
National Treasure,BVI
Without a Paddle,UIP
The Phantom of the Opera,Entertainment
House of Flying Daggers,Pathe
The Polar Express,Warner
Vera Drake,Momentum
Bridget Jones: The Edge of Reason,UIP
Blade: Trinity,Entertainment
Garden State,BVI
The Merchant of Venice,Optimum
Ladies in Lavender,Entertainment
Enduring Love,Pathe
Finding Neverland,BVI
My House in Umbria,Momentum
Dead of Night (RE),BFI
The Motorcycle Diaries,Pathe
My Summer of Love,Contentfilm
Closer,Col/TriStar
Team America: World Police,UIP
Million Dollar Baby,Entertainment
Vanity Fair,UIP
Super Size Me,Tartan
Closer,Sony
Elektra,20th Fox
Ray,UIP
Ladder 49,BVI
A Very Long Engagement,Warner
Dear Frankie,Pathe
Meet the Fockers,UIP
Assault on Precinct 13,Entertainment
Creep,Pathe
Sideways,20th Fox
2046,Tartan
Ocean's Twelve,Warner
Racing Stripes,Momentum
Closer,Sony Pictures
The Magic Roundabout,Pathe
The SpongeBob SquarePants Movie,UIP
Son of the Mask,Entertainment
The Sea Inside,Entertainment
Shall We Dance?,BVI
Are We There Yet?,Sony Pictures
In Good Company,Entertainment
Laura's Star,Warner
Hide and Seek,20th Fox
Coach Carter,UIP
The Life Aquatic with Steve Zissou,BVI
Spanglish,Sony Pictures
Hotel Rwanda,Entertainment
Boogeyman,UIP
The Flight of the Phoenix,20th Fox
Harold & Kumar Get the Munchies,Icon
Hitch,Sony Pictures
Hostage,Entertainment
The Chorus,Pathe
9 Songs,Optimum
Robots,20th Fox
Constantine,Warner
Pooh's Heffalump Movie,BVI
Darkness,BVI
5x2,UGC
Don't Move,Dogwoof Pictures
Caravaggio (RE),BFI
Miss Congeniality 2,Warner
Valiant,Entertainment
Melinda and Melinda,20th Fox
Maria Full of Grace,Icon
Mickybo and Me,UIP
The Ring Two,UIP
Be Cool,20th Fox
Downfall,Momentum
The Rage in Placid Lake,Guerilla Films
Sahara,UIP
The Assassination of Richard Nixon,Metrodome
Bullet Boy,Verve
Man of the House,Sony Pictures
Lucky,Eros
The Interpreter,UIP
The Amityville Horror,20th Fox
New Town Original,Ratpack
The Wedding Date,Entertainment
Guess Who,20th Fox
Waqt,Eros
Cursed,BVI
Beauty Shop,Verve
Tarnation,Optimum
Chicken Tikka Masala,Bollywood Films
The Hitchhiker's Guide to the Galaxy,BVI
XXX2: The Next Level,Sony Pictures
Kaal,Yash Raj
2046,Tartan Films
Kingdom of Heaven,20th Fox
Machuca,Artificial Eye
Andrew and Jeremy Get Married,Tartan Films
Monster-in-Law,Entertainment
The Jacket,Warner
A Good Woman,Vertigo
Seed of Chucky,Momentum
Ong-Bak,Contender
The Last Horror Movie,Tartan Films
